x,y,z,v_x,v_y,v_z,yaw,v_yaw,time
-3.03543323646,4.30377131859,-0.0825537897935,0.58490895433,1.07029399322,-0.0604590643806,-2.06758292182,0.190297414154,1665724132512822336
-3.08312717372,4.23270553474,-0.0736361708439,0.505341901498,0.960345006467,0.102693309243,-2.03532587094,0.176719308631,1665724132713678834
-3.11518720839,4.13603374194,-0.0890193478094,0.324647841532,0.931532219374,-0.113194369492,-2.00493701764,0.172474349929,1665724132918361945
-3.15270155141,4.04649280953,-0.0829004534368,0.365294858777,0.975085324323,0.0637869994219,-1.97214361978,0.18387194556,1665724133106938415
-3.19602735506,3.96118789425,-0.0710252032808,0.270131908558,0.801420275154,-0.0541633325551,-1.93835965131,0.166871052886,1665724133272088949
-3.18780051827,3.8956404988,-0.0756602787113,0.200752181063,0.60950204448,-0.0713590825573,-1.9165569324,0.145107059212,1665724133511377584
-3.20543423304,3.82840757041,-0.0673907448167,0.324585131176,0.684246294539,0.126856038971,-1.88586408299,0.15549278422,1665724133734944741
-3.26019135261,3.72193268747,-0.0723028712686,0.305841057961,0.955036434458,-0.0729461852508,-1.84661069856,0.188132158836,1665724133917924105
-3.27862117205,3.65626009101,-0.0645103575092,0.255078033021,0.787505727093,0.0733219887607,-1.81687278075,0.17744277921,1665724134135098458
-3.27808895952,3.59076177591,-0.0547636658342,0.11718373566,0.684399345469,-0.0129746288379,-1.79014983012,0.14815730169,1665724134352167521
-3.32814434554,3.40159355353,-0.0503213210126,-0.000213354039629,0.754484903821,-0.0487427345352,-1.73250018915,0.157867578327,1665724134593284602
-3.33050244631,3.31062651201,-0.0362214046299,0.011938804093,0.563131033715,-0.0987064626543,-1.70189039681,0.137524547325,1665724134786422124
-3.34118867181,3.21420553388,-0.0453849365112,0.0458821957792,0.52570603052,-0.0308232608779,-1.67197760899,0.139949868448,1665724134986422421
-3.33632862099,3.13570639817,-0.0328343378182,0.0693113334392,0.445378735867,0.128784160571,-1.64173954638,0.133514340395,1665724135150105548
-3.33222680936,3.08845970784,-0.0258879222549,0.062779189365,0.437272983357,0.127966725223,-1.62362466038,0.133313650544,1665724135150105548
-3.35143054677,2.99220927219,-0.0320247771467,-0.00490057436924,0.645411411884,-0.120233408683,-1.5926146091,0.174221532756,1665724135545988415
-3.34758886912,2.90182115365,-0.0203232665667,-0.0407475855246,0.49269033649,0.136863992337,-1.56175584367,0.166276442832,1665724135725562652
-3.34767855587,2.7888036813,-0.0185825795905,-0.0184279194776,0.670227768298,-0.0794418340527,-1.52371624961,0.214049632596,1665724135944375169
-3.330596566,2.68826069563,-0.00866871835319,0.00676189225756,0.544954803776,0.0342039860212,-1.48691270707,0.193342532391,1665724136129862580
-3.32306036549,2.60934065272,0.000464291158216,-0.0607205357129,0.557142524957,-0.0153659206718,-1.45704961434,0.184020532153,1665724136310046636
